Strain,Count
K1,6045
NF54,4777
D6,2347
W2,6017
FJB D9,21
Dd2,3899
FcB1-R ,213
FSH 14,21
FCB,56
HB3,988
Haiti 135,59
F09A41,1
F08B40,1
F09N1,1
3D7,7346
TM91-C235,581
IMT Guy,18
FcB1,756
IMT 16332,19
IMT K2,24
SB1,9
7G8,903
D10,1523
TM90C2B,265
FcR3,446
GB4,616
K1CB1,55
CsI-2,2
V1S,144
F32,192
wtTM4/8.2,43
FCK2,53
VS1,64
Indochina I,59
3D7A,216
NHP1337,18
Thai,48
PF18,1
F09A21,1
GHA,164
IMT K14,19
IMT10500,24
IMT K4,19
IMT Bres,19
GCO3,65
3BA6,6
Nigerian,153
106/1'76I,3
Bre1,27
FCA20,49
FcM29,171
MRC-02,14
D2,27
K14,41
IMT A4,19
IMT 31,19
IMT 8425,19
IMT 10336,19
IMT Vol,19
T9/94,41
F08B63,1
F09A61,1
F09N22,1
HB,2
E8B,3
IMT 9881,19
CDC1,5
THAI/Thailand,6
TM4/8.2,121
KA6,3
F07-7,1
F09N18,1
F09A54,1
F09A9,1
F07-3,1
F07-27,1
T996,42
IMT 10354,9
TM4,37
RKL9,106
MRC2,28
QF5,3
DAN,3
MP14,13
TM6,38
FCR3/A2,15
IMT031,4
PaloAlto,10
CsL-2,53
MRA1239,2
IMTL1,24
FCC1,6
FcBR,33
W2mef,71
INDO,102
VNS,6
SKF58,20
CP286,13
PH1263-C,1
F07-11,1
Mad20,6
Nigeria,34
TM267TR,19
TM90C2A,52
FAC8,10
HB3-leuR1,7
F09N6,1
F07-47,1
RSA11,5
FCA10/GHA,3
T9/94 RC17,33
Cam 3.1 R539,12
C2A,14
FCCI-HN,2
PA,30
Cam3.II,10
F08B32,1
F09N58,1
K2,6
Cam3.II^C580Y,6
ItG,11
2087,2
SRIV35,19
F32-TEM,9
PFB,6
NF54-R,8
106/1,21
GP1,7
F07-23,1
F07-29,1
L1,6
PH3,23
SB,1
KC98358,1
FC32,1
6320,8
BHz26/86,12
GC03,1
F32A,7
Bres,6
SB1-A6,5
RCS,6
Cam3.II^rev,6
6816,1
8968,1
8973,1
FC27,15
J164,4
K39,13
208432,5
106/1'76N,3
Kil-164,6
D3,4
Dd2-B2,4
IPC4912,6
FcB2,3
RF12,1
JC9,3
34-1/E,3
JB12,3
XG10,3
WE2,3
RKL-2,3
Dd2048,2
C2B,2
106/1'76T,3
FCR3F86,1
FCR3-A,4
Voll,6
S20,1
F07-42,1
Tm90,2
8425,6
6218,8
K1AM,4
AK127,1
AK033 D-49,1
TM90C6B,2
F08B27,1
Itg2,2
CDA-1553,1
TM93-C1088,4
IMTVo1,2
F09N72,1
F07-8,1
F07-35,1
F07-40,1
F09N44,1
AK158,1
Cam3.1,3
F07-58,1
IMT 16116,1
CS2,6
F09N64,1
SM,1
AK182,1
PoW,2
Fab9,2
F09A10,1
Feng,1
R1H6/2,3
XF12,3
IMT 9996,1
LC12,3
MB,1
JH6,3
JON,3
KH7,3
JC3,3
JF11,2
AK183,1
AK022 D-28,1
K1Hf,4
XE7,3
F07-28,1
WF12,3
KC5,3
F07-31,1
PC49,1
XD8,3
AK062,1
F09N40,1
F08B41,1
IMT 6311,1
C2,3
FCC1/HN,1
F08B72,1
AL2,3
F07-59,1
8885,1
F09N66,1
9067,1
AK033 D-0,1
F09N33,1
MRA1240,3
AK249,1
DEV,3
TF1,3
AK121,1
AK152 D-56,1
AK022D-0,1
9070,1
8977,1
F09N68,1
NIC,3
NF10,3
JF6,2
LA10,3
XB3,3
F07-10,1
AUD,3
JB8,3
KC2,3
KB8,3
FCR 3TC,2
WC4,3
F08B9,1
K1mef,1
AK222,1
8948,1
SGE2,2
KC98,1
F07-56,1
F07-6,1
F09N35,1
F07-9,1
F07-46,1
F08B53,1
F07-13,1
F08B2,1
F08B61,1
F09N29,1
F09N78,1
F07-34,1
F08B7,1
F07-25,1
AK150 D-42,1
F08B60,1
F07-50,1
AK227,1
AK167,1
AK018,1
8966,1
Bres1,2
F09A55,1
AK144,1
AK150 D-0,1
