Strain,Count,,,
3D7,7433,,,3D7A added to 3D7
K1,6001,,,
W2,5954,,,
NF54,4776,,,
Dd2,3875,,,
D6,2327,,,
D10,1502,,,
HB3,969,,,
7G8,892,,,
FcB1,756,,,
GB4,605,,,
TM91-C235,581,,,
FcR3,430,,,
TM90C2B,265,,,
FcB1-R ,213,,,
F32,192,,,
FcM29,165,,,
GHA,161,,,
V1S,144,,,
TM4/8.2,121,,,
Nigerian,119,,,
RKL9,106,,,
INDO,102,,,
W2mef,69,,,
GCO3,65,,,
VS1,64,,,
Haiti 135,59,,,
Indochina I,59,,,
FCB,56,,,
K1CB1,55,,,
CsL-2,53,,,
TM90C2A,52,,,
FCK2,49,,,
FCA20,49,,,
Thai,48,,,
wtTM4/8.2,43,,,
T996,42,,,
K14,41,,,
T9/94,41,,,
TM6,38,,,
TM4,37,,,
Nigeria,34,,,
FcBR,33,,,
T9/94 RC17,33,,,
PA,30,,,
MRC2,28,,,
Bre1,27,,,
D2,27,,,
IMT K2,24,,,
IMT10500,24,,,
IMTL1,24,,,
PH3,23,,,
106/1,21,,,
SKF58,20,,,
IMT 16332,19,,,
IMT K14,19,,,
IMT K4,19,,,
IMT Bres,19,,,
IMT A4,19,,,
IMT 31,19,,,
IMT 8425,19,,,
IMT 10336,19,,,
IMT Vol,19,,,
IMT 9881,19,,,
TM267TR,19,,,
SRIV35,19,,,
FSH 14,18,,,
IMT Guy,18,,,
NHP1337,18,,,
FJB D9,18,,,
FCR3/A2,15,,,
FC27,15,,,
MRC-02,14,,,
C2A,14,,,
MP14,13,,,
CP286,13,,,
K39,13,,,
Cam 3.1 R539,12,,,
BHz26/86,12,,,
ItG,11,,,
PaloAlto,10,,,
FAC8,10,,,
Cam3.II,10,,,
SB1,9,,,
IMT 10354,9,,,
F32-TEM,9,,,
NF54-R,8,,,
6320,8,,,
6218,8,,,
GP1,7,,,
F32A,7,,,
3BA6,6,,,
THAI/Thailand,6,,,
FCC1,6,,,
VNS,6,,,
Mad20,6,,,
K2,6,,,
Cam3.II^C580Y,6,,,
PFB,6,,,
L1,6,,,
Bres,6,,,
RCS,6,,,
Cam3.II^rev,6,,,
Kil-164,6,,,
IPC4912,6,,,
Voll,6,,,
8425,6,,,
CS2,6,,,
CDC1,5,,,
HB3-leuR1,5,,,
RSA11,5,,,
SB1-A6,5,,,
IMT031,4,,,
J164,4,,,
D3,4,,,
Dd2-B2,4,,,
FCR3-A,4,,,
K1AM,4,,,
TM93-C1088,4,,,
208432,4,,,
K1Hf,4,,,
106/1'76I,3,,,
E8B,3,,,
KA6,3,,,
QF5,3,,,
DAN,3,,,
FCA10/GHA,3,,,
106/1'76N,3,,,
FcB2,3,,,
JC9,3,,,
34-1/E,3,,,
JB12,3,,,
XG10,3,,,
WE2,3,,,
RKL-2,3,,,
106/1'76T,3,,,
Cam3.1,3,,,
R1H6/2,3,,,
XF12,3,,,
LC12,3,,,
JH6,3,,,
JON,3,,,
KH7,3,,,
JC3,3,,,
XE7,3,,,
WF12,3,,,
KC5,3,,,
XD8,3,,,
C2,3,,,
AL2,3,,,
MRA1240,3,,,
DEV,3,,,
TF1,3,,,
NIC,3,,,
NF10,3,,,
LA10,3,,,
XB3,3,,,
AUD,3,,,
JB8,3,,,
KC2,3,,,
KB8,3,,,
WC4,3,,,
CsI-2,2,,,
HB,2,,,
MRA1239,2,,,
FCCI-HN,2,,,
2087,2,,,
Dd2048,2,,,
C2B,2,,,
Tm90,2,,,
TM90C6B,2,,,
Itg2,2,,,
IMTVo1,2,,,
PoW,2,,,
Fab9,2,,,
JF11,2,,,
JF6,2,,,
FCR 3TC,2,,,
SGE2,2,,,
Bres1,2,,,
F09A41,1,,,
F08B40,1,,,
F09N1,1,,,
PF18,1,,,
F09A21,1,,,
F08B63,1,,,
F09A61,1,,,
F09N22,1,,,
F07-7,1,,,
F09N18,1,,,
F09A54,1,,,
F09A9,1,,,
F07-3,1,,,
F07-27,1,,,
PH1263-C,1,,,
F07-11,1,,,
F09N6,1,,,
F07-47,1,,,
F08B32,1,,,
F09N58,1,,,
F07-23,1,,,
F07-29,1,,,
SB,1,,,
KC98358,1,,,
FC32,1,,,
GC03,1,,,
6816,1,,,
8968,1,,,
8973,1,,,
RF12,1,,,
FCR3F86,1,,,
S20,1,,,
F07-42,1,,,
AK127,1,,,
AK033 D-49,1,,,
F08B27,1,,,
CDA-1553,1,,,
F09N72,1,,,
F07-8,1,,,
F07-35,1,,,
F07-40,1,,,
F09N44,1,,,
AK158,1,,,
F07-58,1,,,
IMT 16116,1,,,
F09N64,1,,,
SM,1,,,
AK182,1,,,
F09A10,1,,,
Feng,1,,,
IMT 9996,1,,,
MB,1,,,
AK183,1,,,
AK022 D-28,1,,,
F07-28,1,,,
F07-31,1,,,
PC49,1,,,
AK062,1,,,
F09N40,1,,,
F08B41,1,,,
IMT 6311,1,,,
FCC1/HN,1,,,
F08B72,1,,,
F07-59,1,,,
8885,1,,,
F09N66,1,,,
9067,1,,,
AK033 D-0,1,,,
F09N33,1,,,
AK249,1,,,
AK121,1,,,
AK152 D-56,1,,,
AK022D-0,1,,,
9070,1,,,
8977,1,,,
F09N68,1,,,
F07-10,1,,,
F08B9,1,,,
K1mef,1,,,
AK222,1,,,
8948,1,,,
KC98,1,,,
F07-56,1,,,
F07-6,1,,,
F09N35,1,,,
F07-9,1,,,
F07-46,1,,,
F08B53,1,,,
F07-13,1,,,
F08B2,1,,,
F08B61,1,,,
F09N29,1,,,
F09N78,1,,,
F07-34,1,,,
F08B7,1,,,
F07-25,1,,,
AK150 D-42,1,,,
F08B60,1,,,
F07-50,1,,,
AK227,1,,,
AK167,1,,,
AK018,1,,,
8966,1,,,
F09A55,1,,,
AK144,1,,,
AK150 D-0,1,,,
